"","AllContractor","NumberOfActions","Action_Obligation_OMB23_GDP21","MinOfFiscalYear","MaxOfFiscalYear","pos"
"3090","093906097",7,37438.7144416019,2006,2006,3090
"3091","133032230",1,37412.1812839658,2005,2005,3091
"3092","026179668",3,37290.1335554254,2009,2016,3092
"3093","954603221",3,37252.4801759243,2003,2003,3093
"3094","106265189",1,37252.4801759243,2003,2003,3094
"3095","086266947",9,37212.5391,2021,2021,3095
"3096","130779403",3,37199.4728121267,2003,2005,3096
"3097","691737860",5,37121.3075829576,2004,2004,3097
"3098","006414940",4,37087.8695594402,2005,2012,3098
"3099","942501719",1,37057.1031857243,2004,2004,3099
"3100","002244411",5,36929.6785955587,2007,2007,3100
"3101","077767515",2,36868.6186653281,2010,2010,3101
"3102","781316054",3,36814.2654232187,2007,2007,3102
"3103","009419532",2,36801.5904387733,2013,2014,3103
"3104","057204158",1,36697.0002621117,2004,2004,3104
"3105","146663856",2,36640.9036896484,2012,2015,3105
"3106","078354103",3,36474.0003807782,2014,2017,3106
"3107","316143718",1,36471.8307360561,2007,2007,3107
"3108","184892172",2,36436.2292782748,2006,2006,3108
"3109","962420258",1,36344.0381137401,2011,2011,3109
"3110","114123313",5,36328.7585735286,2007,2015,3110
"3111","013069759",5,36184.5359984865,2011,2013,3111
"3112","152980517",1,35991.6270007392,2003,2003,3112
"3113","175551878",1,35865.5416832207,2003,2003,3113
"3114","929365455",5,35673.3755993569,2010,2014,3114
"3115","131713943",4,35511.2190062145,2012,2012,3115
"3116","623537847",1,35510.8849978386,2010,2010,3116
"3117","607616914",17,35474.6577959979,2012,2017,3117
"3118","078348196",5,35458.9359336103,2019,2021,3118
"3119","020653692",3,35395.7543122375,2006,2016,3119
"3120","156057267",1,35355.2400061872,2012,2012,3120
"3121","829430128",4,35257.78303367,2009,2010,3121
"3122","069028678",3,35248.4829136209,2015,2021,3122
"3123","829726400",2,35224.6205665317,2012,2013,3123
"3124","001486786",2,35200.9923199551,2014,2014,3124
"3125","HEWLETT PACKARD",3,35183.4487295656,2006,2006,3125
"3126","869507848",2,35100.8237107865,2007,2007,3126
"3127","001013796",3,35085.6770946507,2006,2006,3127
"3128","798314100",2,35019.6239436515,2015,2017,3128
"3129","008859878",2,35010.0670303166,2006,2006,3129
"3130","026965590",2,34938.367831379,2006,2006,3130
"3131","182477088",10,34927.6535407241,2007,2011,3131
"3132","210004404",1,34924.5332607287,2007,2007,3132
"3133","243539657",7,34912.3424814009,2006,2008,3133
"3134","601713571",1,34909.3139412993,2007,2007,3134
"3135","097711196",4,34881.6533311843,2012,2012,3135
"3136","028222594",3,34767.5094693344,2006,2018,3136
"3137","343966933",2,34752.0313959712,2015,2015,3137
"3138","079934875",1,34603.8489231966,2017,2017,3138
"3139","001043744",1,34593.6466230927,2013,2013,3139
"3140","179502216",2,34555.6871047054,2005,2006,3140
"3141","139107879",1,34500,2021,2021,3141
"3142","133957246",2,34481.330194108,2016,2016,3142
"3143","614011745",1,34195.2184059842,2012,2012,3143
"3144","037422821",8,34188.5243891467,2006,2011,3144
"3145","033440637",1,34139.1057092792,2009,2009,3145
"3146","185903317",2,34134.0331814793,2006,2006,3146
"3147","125111240",5,34098.3932193856,2006,2007,3147
"3148","079544836",7,34088.165437515,2016,2021,3148
"3149","142888226",2,34041.2478200321,2011,2011,3149
"3150","005213715",1,34003.6318145687,2010,2010,3150
"3151","043979665",1,33919.2691073196,2008,2008,3151
"3152","025129458",8,33895.9878582211,2015,2018,3152
"3153","129300294",1,33895.5118125326,2005,2005,3153
"3154","005366679",4,33880.9496059292,2012,2012,3154
"3155","103863320",1,33864.5631427655,2011,2011,3155
"3156","HUNTINGTON INGALLS INCORPORATED",1,33831.1077386628,2014,2014,3156
"3157","809877343",1,33757.4569167978,2013,2013,3157
"3158","WARTSILA HOLDING",2,33651.3765115329,2005,2016,3158
"3159","087831017",4,33626.3088928386,2008,2013,3159
"3160","602707122",2,33508.1698492015,2012,2014,3160
"3161","069102080",1,33506.6000058637,2012,2012,3161
"3162","062655535",3,33245.8786135097,2007,2010,3162
"3163","041157447",3,33242.1995577653,2006,2011,3163
"3164","001815869",2,33166.2341069523,2008,2010,3164
"3165","832393680",7,33007.9955049132,2009,2016,3165
"3166","147919864",6,32993.2876081614,2005,2013,3166
"3167","069008472",1,32985.9817957459,2005,2005,3167
"3168","809105997",2,32900.2910345413,2015,2015,3168
"3169","102694101",3,32884.3823592309,2012,2013,3169
"3170","612492447",14,32784.425872388,2014,2021,3170
"3171","007939358",3,32760.0413171137,2005,2007,3171
"3172","104660469",3,32748.1705823175,2006,2007,3172
"3173","001004258",11,32707.8241868137,2015,2021,3173
"3174","021715206",1,32694,2021,2021,3174
"3175","186579173",2,32679.1912539461,2004,2006,3175
"3176","143598899",3,32559.3582066901,2016,2016,3176
"3177","040559361",1,32545.3236095802,2013,2013,3177
"3178","081128094",1,32527.9947388272,2018,2018,3178
"3179","804691384",1,32527.4620248049,2009,2009,3179
"3180","932518319",5,32526.8846998285,2006,2015,3180
"3181","036485258",4,32526.1905823482,2016,2017,3181
"3182","804521888",2,32512.7039124291,2015,2016,3182
"3183","861384808",2,32456.5418777137,2007,2010,3183
"3184","078330716",1,32451.9073208661,2013,2013,3184
"3185","161412499",2,32408.498068849,2003,2005,3185
"3186","080607952",1,32302.4139185439,2018,2018,3186
"3187","001023704",1,32264.639521907,2006,2006,3187
"3188","072249402",3,32255.8916777764,2009,2011,3188
"3189","001144070",1,32247.6031062518,2009,2009,3189
"3190","035136803",10,32171.9377942647,2014,2019,3190
"3191","692013923",1,32121.9609,2021,2021,3191
"3192","011514755",9,32082.681095432,2018,2020,3192
"3193","010907764",4,32078.2216046693,2006,2006,3193
"3194","027482843",1,32069.0962520773,2006,2006,3194
"3195","143374242",1,31986.3241540803,2010,2010,3195
"3196","130112667",2,31974.2041761284,2006,2007,3196
"3197","OWENS & MINOR",6,31852.6950334657,2006,2006,3197
"3198","109224089",1,31841.5535277323,2012,2012,3198
"3199","080799494",6,31819.9438435366,2020,2021,3199
"3200","556196210",3,31799.20514192,2018,2018,3200
"3201","837259001",3,31749.7736108525,2003,2021,3201
"3202","001161371",1,31697.5640394008,2006,2006,3202
"3203","557416166",4,31631.398406802,2011,2012,3203
"3204","961353422",2,31579.2450626468,2005,2006,3204
"3205","024719812",4,31543.3560000845,2006,2010,3205
"3206","134657873",1,31470.7338463983,2006,2006,3206
"3207","786373969",1,31422.4998398403,2006,2006,3207
"3208","608655056",2,31416.6839584584,2013,2013,3208
"3209","052097771",1,31318.3164244122,2017,2017,3209
"3210","137554379",8,31243.2707378035,2010,2017,3210
"3211","SPECTRUM MICROWAVE, INC [SPACE LEVEL POWER PRODUCTS]",1,31189.1515378435,2006,2006,3211
"3212","864343582",1,31160.1310741647,2014,2014,3212
"3213","085635761",1,31053.5748707615,2006,2006,3213
"3214","801161829",5,31051.6343134383,2015,2020,3214
"3215","042554865",2,31051.4220105462,2010,2011,3215
"3216","361272123",2,31019.97241274,2006,2011,3216
"3217","080951088",11,31009.5354281649,2019,2021,3217
"3218","019601835",9,30963.9677013311,2008,2014,3218
"3219","023473010",3,30962.522240623,2014,2014,3219
"3220","795443535",3,30825.0284508502,2012,2021,3220
"3221","828904081",2,30822.8183835341,2013,2013,3221
"3222","006006969",1,30798.064998184,2006,2006,3222
"3223","831697656",1,30781.2436574306,2020,2020,3223
"3224","825216083",2,30729.2457279619,2009,2009,3224
"3225","071960999",1,30647.2402,2021,2021,3225
"3226","017531604",4,30614.254324544,2006,2006,3226
"3227","006295604",3,30508.2797534995,2009,2010,3227
"3228","006452312",1,30488.3899887193,2017,2017,3228
"3229","006272785",4,30443.4798688927,2004,2006,3229
"3230","148740595",4,30370.1209229673,2005,2006,3230
"3231","078371165",2,30203.7645877757,2012,2013,3231
"3232","078488056",1,30159.9927610153,2019,2019,3232
"3233","078896615",2,30035.446245848,2006,2006,3233
"3234","004566287",1,29983.3013738934,2006,2006,3234
"3235","009788832",4,29920.3548804762,2013,2016,3235
"3236","105871800",2,29896.5246913034,2008,2009,3236
"3237","533096070",5,29830.2664198256,2015,2015,3237
"3238","129739343",3,29678.5944510838,2008,2008,3238
"3239","078498831",5,29673.3340833382,2013,2019,3239
"3240","055652226",3,29654.7886805794,2006,2006,3240
"3241","126070247",5,29628.76506905,2006,2018,3241
"3242","NIPPI KOSAN",2,29623.3505843244,2004,2004,3242
"3243","038675138",1,29540.0699622793,2006,2006,3243
"3244","060918729",2,29492.6073165188,2006,2016,3244
"3245","094219578",1,29439.5920051519,2012,2012,3245
"3246","211645779",2,29405.9039997445,2019,2020,3246
"3247","007245244",4,29387.4020730082,2011,2017,3247
"3248","007409746",2,29337.8430842645,2005,2006,3248
"3249","809080232",7,29313.8839742474,2010,2012,3249
"3250","081208250",2,29114.71,2021,2021,3250
"3251","033519026",1,29092.6478338381,2009,2009,3251
"3252","791458677",1,29083.9574243758,2010,2010,3252
"3253","009488495",2,28820.4707293059,2006,2006,3253
"3254","FOSTER FUELS",2,28772.6723636552,2012,2012,3254
"3255","149134046",2,28771.356250763,2018,2018,3255
"3256","077925295",15,28656.6476948529,2008,2020,3256
"3257","867340655",6,28650.8834715342,2004,2011,3257
"3258","851217290",1,28608.948725688,2015,2015,3258
"3259","008326076",5,28593.6405363034,2006,2006,3259
"3260","041651097",29,28457.9937716613,2011,2014,3260
"3261","794581918",2,28451.5457602271,2006,2006,3261
"3262","017237827",1,28387.0525714004,2005,2005,3262
"3263","095831772",2,28375.1343009793,2016,2016,3263
"3264","809582547",3,28369.2463011403,2006,2010,3264
"3265","048671416",1,28367.8189927546,2010,2010,3265
"3266","178670634",2,28363.0520435348,2005,2006,3266
"3267","794029512",1,28331.6287148979,2008,2008,3267
"3268","109136630",1,28316.5277107157,2013,2013,3268
"3269","607805108",1,28252.7999895465,2017,2017,3269
"3270","053235362",4,28237.5183307446,2005,2009,3270
"3271","099809048",8,28155.2339397431,2007,2014,3271
"3272","615319303",1,28065.0556183893,2013,2013,3272
"3273","VOUGHT[Northrop Grumman]",3,27967.4240583109,2005,2011,3273
"3274","SATCON ELECTRONICS",2,27962.6875856528,2006,2006,3274
"3275","079108123",1,27867.5467598711,2015,2015,3275
"3276","064575541",1,27853.1833545481,2006,2006,3276
"3277","177132719",4,27833.6290275651,2006,2006,3277
"3278","609171111",1,27824.5036749731,2006,2006,3278
"3279","079523083",1,27808.5403837737,2014,2014,3279
"3280","131660230",2,27688.4351114578,2009,2010,3280
"3281","004523056",1,27688.0369205169,2005,2005,3281
"3282","176607521",3,27677.1944117013,2003,2006,3282
"3283","SIEMENS",2,27586.5172697799,2004,2006,3283
"3284","779938521",2,27575.8261695173,2005,2006,3284
"3285","068077130",1,27574.0682210397,2008,2008,3285
"3286","042630020",4,27453.4865175307,2013,2013,3286
"3287","066512007",1,27411.9435027924,2014,2014,3287
"3288","131068640",5,27402.245780183,2012,2021,3288
"3289","032919867",2,27397.8965010751,2005,2008,3289
"3290","605486711",4,27309.7108623751,2006,2009,3290
"3291","001441971",3,27192.8771769113,2005,2013,3291
"3292","055151344",4,27144.4118222287,2005,2014,3292
"3293","051645935",2,27142.7094741667,2006,2006,3293
"3294","060778656",4,27125.7623907815,2006,2006,3294
"3295","004291498",1,27037.807905155,2009,2009,3295
"3296","093853646",3,27017.6333904258,2005,2008,3296
"3297","005323456",6,27008.8126649038,2006,2020,3297
"3298","ILLINOIS TOOL WORKS",1,26906.7539285722,2006,2006,3298
"3299","107979499",2,26893.9664687232,2008,2008,3299
"3300","067731604",1,26885.8959797903,2006,2006,3300
"3301","968737213",1,26789.4279666743,2006,2006,3301
"3302","025189338",3,26750.3193127084,2006,2006,3302
"3303","859585382",6,26721.6396331333,2006,2006,3303
"3304","942589263",1,26704.160257149,2019,2019,3304
"3305","557479094",1,26694.056776983,2010,2010,3305
"3306","078293872",1,26599.093139502,2014,2014,3306
"3307","966994451",3,26534.4483077237,2006,2013,3307
"3308","173603226",1,26533.6316857945,2008,2008,3308
"3309","197503709",5,26340.3346848635,2006,2008,3309
"3310","057578908",1,26320.9233461576,2015,2015,3310
"3311","062888268",5,26239.4223381298,2019,2021,3311
"3312","942189507",1,26134.5643953532,2010,2010,3312
"3313","884283987",10,26111.3842025557,2005,2008,3313
"3314","161962824",1,26073.7395990975,2006,2006,3314
"3315","782411904",1,25998.1776093807,2017,2017,3315
"3316","037611159",2,25974.2586204529,2015,2015,3316
"3317","787497833",1,25962.2893037834,2012,2012,3317
"3318","061642187",7,25935.7391673991,2006,2011,3318
"3319","073603048",1,25918.7437789975,2019,2019,3319
"3320","069291094",1,25875.724142261,2005,2005,3320
"3321","006345052",1,25655.2770016618,2006,2006,3321
"3322","KAISER AEROPSACE & ELECTRONICS",1,25651.3661362652,2006,2006,3322
"3323","070547450",2,25627.4761942383,2014,2014,3323
"3324","040425696",2,25602.2484335487,2005,2006,3324
"3325","061936878",2,25584.8814245231,2006,2006,3325
"3326","176866937",3,25484.3817128126,2007,2021,3326
"3327","183082676",1,25451.4277602541,2011,2011,3327
"3328","790213651",2,25433.0769469945,2010,2010,3328
"3329","063838408",1,25413,2021,2021,3329
"3330","038695821",1,25401.0707508832,2006,2006,3330
"3331","101439925",1,25368.4802059115,2006,2006,3331
"3332","136668725",1,25339.869513779,2008,2008,3332
"3333","619662836",2,25331.4295831622,2006,2007,3333
"3334","607034618",2,25321.8534789341,2010,2010,3334
"3335","076244789",1,25273.3158145944,2006,2006,3335
"3336","884725581",1,25262.821004421,2012,2012,3336
"3337","003217346",5,25239.8803160491,2006,2009,3337
"3338","002230456",6,25195.144151891,2004,2008,3338
"3339","166655253",3,25190.1819724283,2005,2009,3339
"3340","003409575",1,25152.0789873,2006,2006,3340
"3341","160817250",2,25131.2210385181,2006,2006,3341
"3342","002955649",1,25123.4597869318,2004,2004,3342
"3343","171836195",5,25046.3522030347,2013,2020,3343
"3344","933077430",3,25024.6143682339,2008,2009,3344
"3345","010314682",3,25013.9943039427,2020,2020,3345
"3346","022754092",3,24961.1884374943,2004,2018,3346
"3347","122367456",1,24903.8796930555,2007,2007,3347
"3348","143331135",6,24876.3322530845,2011,2014,3348
"3349","010511603",3,24876.2906031321,2013,2014,3349
"3350","129775834",1,24759.6888258416,2006,2006,3350
"3351","601461515",1,24739.0037325698,2007,2007,3351
"3352","050576305",1,24719.6932010692,2015,2015,3352
"3353","028661171",2,24680.5892895442,2009,2021,3353
"3354","557724019",1,24646.3497998808,2017,2017,3354
"3355","078671326",13,24561.9270058893,2014,2016,3355
"3356","056073315",1,24537.0828375263,2008,2008,3356
"3357","112951533",2,24506.9091112707,2007,2007,3357
"3358","008309429",1,24445.9220258873,2009,2009,3358
"3359","063560577",1,24442.9087287174,2006,2006,3359
"3360","621871545",1,24434.8749633129,2009,2009,3360
"3361","608725557",1,24401.6421518837,2007,2007,3361
"3362","134963466",2,24378.9805,2021,2021,3362
"3363","183688100",2,24285.1115958041,2010,2011,3363
"3364","152137840",3,24250.7478615038,2007,2019,3364
"3365","045517336",2,24201.8580679237,2004,2005,3365
"3366","115265142",1,24161.3264201626,2006,2006,3366
"3367","804136059",3,24158.6848715868,2010,2011,3367
"3368","945385896",1,24092.2887039835,2013,2013,3368
"3369","806028262",1,24087.9140875364,2013,2021,3369
"3370","115848607",1,24085.4902,2021,2021,3370
"3371","038937959",1,24016.6244004886,2006,2006,3371
"3372","168159825",4,24002.2492963734,2009,2011,3372
"3373","058413741",3,23895.3875731942,2006,2006,3373
"3374","003197803",1,23861.8546137789,2011,2011,3374
"3375","002041556",1,23856.2789192282,2006,2006,3375
"3376","044467264",3,23828.9028614521,2006,2006,3376
"3377","867473464",5,23792.4387201076,2006,2021,3377
"3378","170056485",2,23788.1467325725,2015,2017,3378
"3379","792752474",1,23771.1442571065,2010,2010,3379
"3380","931974109",1,23728.7475002617,2005,2005,3380
"3381","067531335",2,23655.521162203,2006,2006,3381
"3382","084201623",5,23653.4866589309,2008,2015,3382
"3383","055155824",1,23621.6520311244,2007,2007,3383
"3384","961535064",6,23618.825957864,2012,2015,3384
"3385","151179009",1,23579.9110978689,2006,2006,3385
"3386","135023567",3,23573.3929888745,2006,2006,3386
"3387","131309239",2,23569.1153215119,2018,2020,3387
"3388","014360333",10,23560.140711048,2004,2012,3388
"3389","004353561",1,23530.373469512,2006,2006,3389
"3390","063118772",1,23512.1227643279,2006,2006,3390
"3391","364141127",5,23429.9525000619,2010,2017,3391
"3392","086534625",2,23420.8692384073,2006,2006,3392
"3393","034444175",8,23417.1615425585,2013,2015,3393
"3394","KIPPER TOOL COMPANY",8,23362.4267065453,2008,2021,3394
"3395","009680513",4,23355.7667049482,2003,2015,3395
"3396","103753294",1,23153.8813472185,2005,2005,3396
"3397","053080255",4,23149.0120325773,2013,2014,3397
"3398","026744797",1,23126.2275719154,2013,2013,3398
"3399","806127762",8,23061.4337739613,2011,2017,3399
"3400","809132132",1,23053.2507098301,2011,2011,3400
"3401","080735758",2,23034,2021,2021,3401
"3402","026069457",1,22943.5215157605,2009,2009,3402
"3403","556284610",4,22917.4203188428,2014,2017,3403
"3404","SAFETY KLEEN",1,22883.777057275,2006,2006,3404
"3405","053447884",1,22876,2021,2021,3405
"3406","069926038",6,22851.816188275,2006,2015,3406
"3407","312857011",5,22827.009833055,2017,2019,3407
"3408","009607318",1,22803.6136117915,2007,2007,3408
"3409","929433910",1,22753.3159455765,2015,2015,3409
"3410","023674257",2,22722.2754692054,2018,2019,3410
"3411","182033662",1,22717.6704586826,2009,2009,3411
"3412","968837732",1,22634.1196025273,2010,2010,3412
"3413","809757862",1,22614.8267617814,2010,2010,3413
"3414","195128905",3,22610.7740761169,2012,2013,3414
"3415","056580418",2,22540.9075369233,2012,2013,3415
"3416","073167983",1,22489.5483333535,2008,2008,3416
"3417","623193323",1,22472.9347794105,2004,2004,3417
"3418","624023326",1,22426.2422449788,2014,2014,3418
"3419","808309686",1,22414.7600039226,2012,2012,3419
"3420","078366824",1,22409.6378637084,2017,2017,3420
"3421","843135831",1,22310.1834657744,2006,2006,3421
"3422","011645157",1,22282.714295999,2003,2003,3422
"3423","151098535",1,22265.9425474475,2005,2005,3423
"3424","057539058",1,22214.8491454359,2013,2013,3424.5
