"","fydp_year","account","organization","program_number","program_name","project_number","project_name","fy","amount","amount_18","stage"
"1337","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2013,6731000,7.248866,"Advanced Technology Development"
"1338","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2013,18176000,19.57442,"Advanced Technology Development"
"1339","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2013,34756000,37.43004,"Advanced Technology Development"
"1340","2011 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2013,14486000,15.60052,"System Development & Demonstration"
"1341","2011 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2013,81781000,88.07303,"Operational Systems Development"
"1342","2011 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2013,4193000,4.515599,"Basic Research"
"1343","2011 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2013,4671000,5.030375,"Applied Research"
"1344","2011 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2013,9813000,10.56799,"Advanced Technology Development"
"1345","2011 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2013,9e+05,0.9692438,"Operational Systems Development"
"1346","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2013,111847000,120.4522,"Operational Systems Development"
"1347","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","675365","Aircraft Engine Component Improvement Program (F135)",2013,31829000,34.27784,"Operational Systems Development"
"1348","2011 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2014,78623000,83.15838,"Applied Research"
"1349","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2014,20850000,22.05274,"Applied Research"
"1350","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2014,16640000,17.59988,"Applied Research"
"1351","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2014,55689000,58.90143,"Applied Research"
"1352","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2014,6568000,6.946877,"Applied Research"
"1353","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2014,7668000,8.11033,"Advanced Technology Development"
"1354","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2014,17867000,18.89766,"Advanced Technology Development"
"1355","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2014,27725000,29.32432,"Advanced Technology Development"
"1356","2011 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2014,13434000,14.20894,"System Development & Demonstration"
"1357","2011 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2014,83123000,87.91797,"Operational Systems Development"
"1358","2011 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2014,4272000,4.518431,"Basic Research"
"1359","2011 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2014,4762000,5.036697,"Applied Research"
"1360","2011 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2014,9998000,10.57474,"Advanced Technology Development"
"1361","2011 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2014,428000,0.4526893,"Operational Systems Development"
"1362","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2014,114091000,120.6724,"Operational Systems Development"
"1363","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","675365","Aircraft Engine Component Improvement Program (F135)",2014,31678000,33.50535,"Operational Systems Development"
"1364","2011 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2015,80669000,84.30472,"Applied Research"
"1365","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2015,21336000,22.29761,"Applied Research"
"1366","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2015,15778000,16.48911,"Applied Research"
"1367","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2015,52170000,54.52128,"Applied Research"
"1368","2011 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2015,6544000,6.838936,"Applied Research"
"1369","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2015,7965000,8.32398,"Advanced Technology Development"
"1370","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2015,19479000,20.35691,"Advanced Technology Development"
"1371","2011 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2015,29409000,30.73445,"Advanced Technology Development"
"1372","2011 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2015,13779000,14.40001,"System Development & Demonstration"
"1373","2011 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2015,84300000,88.09937,"Operational Systems Development"
"1374","2011 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2015,4355000,4.551278,"Basic Research"
"1375","2011 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2015,4856000,5.074858,"Applied Research"
"1376","2011 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2015,10167000,10.62522,"Advanced Technology Development"
"1377","2011 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2015,333000,0.3480082,"Operational Systems Development"
"1378","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2015,116298000,121.5395,"Operational Systems Development"
"1379","2011 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","675365","Aircraft Engine Component Improvement Program (F135)",2015,31515000,32.93537,"Operational Systems Development"
"1380","2012 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2010,109378000,124.4489,"Applied Research"
"1381","2012 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2010,31164000,35.45801,"Advanced Technology Development"
"1382","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2010,17061000,19.41179,"Applied Research"
"1383","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2010,19171000,21.81252,"Applied Research"
"1384","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2010,60738000,69.10694,"Applied Research"
"1385","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2010,6744000,7.673239,"Applied Research"
"1386","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2010,27254000,31.00926,"Advanced Technology Development"
"1387","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2010,38383000,43.6717,"Advanced Technology Development"
"1388","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2010,56168000,63.90725,"Advanced Technology Development"
"1389","2012 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2010,20659000,23.50555,"System Development & Demonstration"
"1390","2012 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2010,63769000,72.55557,"Operational Systems Development"
"1391","2012 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2010,3303000,3.758112,"Basic Research"
"1392","2012 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2010,4221000,4.802601,"Applied Research"
"1393","2012 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2010,17264000,19.64276,"Advanced Technology Development"
"1394","2012 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2010,767000,0.872683,"Operational Systems Development"
"1395","2012 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2010,147200000,167.4823,"Operational Systems Development"
"1396","2012 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2011,84865000,94.63523,"Applied Research"
"1397","2012 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2011,34022000,37.93884,"Advanced Technology Development"
"1398","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2011,22859000,25.49068,"Applied Research"
"1399","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2011,18679000,20.82945,"Applied Research"
"1400","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2011,67274000,75.01904,"Applied Research"
"1401","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2011,6679000,7.447932,"Applied Research"
"1402","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2011,9393000,10.47439,"Advanced Technology Development"
"1403","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2011,41403000,46.16959,"Advanced Technology Development"
"1404","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2011,34766000,38.7685,"Advanced Technology Development"
"1405","2012 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2011,22867000,25.4996,"System Development & Demonstration"
"1406","2012 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2011,75583000,84.28463,"Operational Systems Development"
"1407","2012 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2011,3429000,3.82377,"Basic Research"
"1408","2012 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2011,5448000,6.075211,"Applied Research"
"1409","2012 FYDP","RDT&E","Army","0603003A","Aviation Advanced Technology","447","ACFT Demo Engines",2011,10943000,12.20283,"Advanced Technology Development"
"1410","2012 FYDP","RDT&E","Army","0203752A","Aircraft Engine Component Improvement Program","106","Aircraft Engine Component Improvement Program (USA)",2011,710000,0.79174,"Operational Systems Development"
"1411","2012 FYDP","RDT&E","Air Force","0207268F","Aircraft Engine Component Improvement Program (CIP)","671012","Aircraft Engine Component Improvement Program (USAF)",2011,120626000,134.5133,"Operational Systems Development"
"1412","2012 FYDP","RDT&E","Air Force","0602102F","Materials","624347","Materials for Structures, Propulsion, and Subsystems",2012,81915000,89.70712,"Applied Research"
"1413","2012 FYDP","RDT&E","Air Force","0601102F","Defense Research Sciences","612308","Advanced Aerospace Propulsion",2012,NA,NA,"Advanced Technology Development"
"1414","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623012","Advanced Propulsion Technology",2012,20377000,22.31535,"Applied Research"
"1415","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623048","Combustion and Mechanical Systems",2012,20079000,21.98901,"Applied Research"
"1416","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","623066","Turbine Engine Technology",2012,67735000,74.17826,"Applied Research"
"1417","2012 FYDP","RDT&E","Air Force","0602203F","Aerospace Propulsion","625330","Combustion and Mechanical Systems",2012,6242000,6.835767,"Applied Research"
"1418","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","632480","Aerospace Fuels",2012,6770000,7.413993,"Advanced Technology Development"
"1419","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","634921","Aircraft Propulsion Subsystems Int",2012,17713000,19.39794,"Advanced Technology Development"
"1420","2012 FYDP","RDT&E","Air Force","0603216F","Aerospace Propulsion and Power Technology","63681B","Advanced Turbine Engine Gas Generator",2012,32996000,36.13473,"Advanced Technology Development"
"1421","2012 FYDP","RDT&E","Navy","0604214N","AV-8B Aircraft - Engine Dev","652","AV-8B",2012,30676000,33.59404,"System Development & Demonstration"
"1422","2012 FYDP","RDT&E","Navy","0205633N","Aviation Improvements","1355","Aircraft Engine Component Improvement Program (USN)",2012,62379000,68.31277,"Operational Systems Development"
"1423","2012 FYDP","RDT&E","Army","0601102A","Defense Research Sciences","F20","Advanced Propulsion Research",2012,3996000,4.376118,"Basic Research"
"1424","2012 FYDP","RDT&E","Army","0602211A","Aviation Technology","47B","Veh Prop & Struct Tech",2012,5576000,6.106414,"Applied Research"
